onset,duration,sample_rate,amplitude,phase,frequency,decay
0,1024,44100,0.00019880923687859314,2.0917848444057063,-438.6281612184598,-24.818900590458362
0,1024,44100,0.0002022554900753806,1.9434302138433077,-378.8676519360258,-11.94613494277814
0,1024,44100,0.0028826613300402177,0.9698054981236941,-39.06508951666861,-87.14038147710608
0,1024,44100,0.0028826613300334614,-0.9698054981269912,39.06508951661746,-87.14038147697146
0,1024,44100,0.00020225549007540225,-1.943430213843432,378.86765193602355,-11.946134942779825
0,1024,44100,0.00019880923687832106,-2.091784844404456,438.62816121848783,-24.818900590432325
0,1024,44100,0.00010792904704629853,-1.4603197522561715,1149.8029022020853,-13.75333866627287
0,1024,44100,8.462567822177218e-05,-1.8360993327293544,1237.3469568039404,-14.647093197182846
0,1024,44100,3.528013576830549e-05,1.8454754107154139,1807.2294783920397,-3.4190512140630296
0,1024,44100,4.052562322124696e-05,-0.8054220094501963,2331.093540891976,-26.22847344891958
0,1024,44100,9.169438932328472e-05,-2.8214621021947917,2735.7639220989954,-41.336418377484115
0,1024,44100,0.00021617500107655636,1.8813127566362537,3037.6200083941226,-52.539444066500856
0,1024,44100,0.00046928950917677286,-0.02937583236060841,3205.561387307849,-116.21722602863639
0,1024,44100,8.604316941502586e-05,0.21296713695440367,3501.8761513210566,-40.70591570448062
0,1024,44100,0.00017416613061622678,-0.438100038683776,3714.2983916671133,-80.93691451701952
0,1024,44100,6.427133470351487e-05,0.357576434085441,4181.518323977395,-32.76040571910271
0,1024,44100,8.829869129385533e-05,-0.6871231302212375,4337.601685369877,-44.19202098592808
0,1024,44100,2.681755009746709e-05,-2.9963741696860438,4528.844915547749,-3.545094251423615
0,1024,44100,0.00012265016811449495,1.2009666331144955,4713.540345033616,-10.385853124788149
0,1024,44100,0.0001806331909225036,1.1458356975685842,4913.509862651073,-9.677940542979465
0,1024,44100,0.00034245899055152776,0.20369906583743547,5026.665689441433,-41.109290461486026
0,1024,44100,0.00017583170853016124,0.9883722891728035,5203.183889726555,-13.7645334162444
0,1024,44100,0.000299596787928865,-0.6331667218507058,5269.012838296693,-15.5835993808382
0,1024,44100,0.0006843407802484542,0.3629877157151915,5682.309118580682,-58.29838483035737
0,1024,44100,0.00019959746492933503,-0.1538921170711511,6307.020399763439,-5.743357336402784
0,1024,44100,0.0009092584613303078,-1.1923771559001686,6752.71605736838,-52.488928078831364
0,1024,44100,0.003364584514095303,-2.1972267413368973,7586.6632327381885,-452.58471801277284
0,1024,44100,0.00019913853207456747,2.4815488982279623,8255.25889545976,-43.82283432363159
0,1024,44100,0.0001079290470462891,1.4603197522558125,-1149.802902202094,-13.753338666272242
0,1024,44100,8.462567822179434e-05,1.8360993327286046,-1237.3469568039573,-14.6470931971886
0,1024,44100,3.5280135768305447e-05,-1.8454754107154292,-1807.2294783920372,-3.419051214062871
0,1024,44100,4.052562322124265e-05,0.8054220094496003,-2331.0935408919895,-26.22847344891746
0,1024,44100,9.169438932327893e-05,2.821462102194674,-2735.763922099,-41.33641837747708
0,1024,44100,0.0002161750010765448,-1.8813127566366108,-3037.620008394134,-52.53944406649718
0,1024,44100,0.0004692895091767092,0.029375832360056975,-3205.5613873078973,-116.21722602863584
0,1024,44100,0.0006673018178763858,-3.10612889938847,8903.17711749886,-191.05533478134592
0,1024,44100,0.00019464726920660958,-2.1179077519110576,9552.07907402422,-11.385837842893014
0,1024,44100,0.0004036765947470905,2.2115138358441473,9632.541961507344,-73.75439226491815
0,1024,44100,0.0001443155293813214,-2.716472482918105,9971.00790594983,-81.08279300579639
0,1024,44100,0.00032644801204094015,2.045561613108128,10206.122168140177,-101.43372951013224
0,1024,44100,8.604316941506042e-05,-0.21296713695549704,-3501.8761513210925,-40.70591570448532
0,1024,44100,0.00017416613061625497,0.4381000386834264,-3714.2983916671315,-80.9369145170254
0,1024,44100,6.427133470350415e-05,-0.35757643408541095,-4181.518323977391,-32.76040571909882
0,1024,44100,8.829869129384778e-05,0.687123130220645,-4337.6016853699,-44.19202098592477
0,1024,44100,2.6817550097462357e-05,2.996374169685467,-4528.844915547773,-3.545094251425442
0,1024,44100,0.00012265016811450487,-1.2009666331145694,-4713.540345033622,-10.385853124794869
0,1024,44100,0.00018063319092240191,-1.14583569757015,-4913.509862651109,-9.67794054297258
0,1024,44100,0.0003424589905515937,-0.20369906583855957,-5026.665689441473,-41.109290461489884
0,1024,44100,0.0001758317085304689,-0.9883722891745035,-5203.183889726594,-13.764533416251092
0,1024,44100,0.00029959678792859396,0.6331667218500036,-5269.012838296721,-15.583599380811522
0,1024,44100,3.563100706430119e-05,-1.3760069025259702,11901.216884159398,-7.415955979148364
0,1024,44100,4.148883775035453e-05,-1.519645782681141,12127.011804941114,-2.2926492002769003
0,1024,44100,2.728512766260221e-05,-2.5197294097395,12421.05313091005,-31.70403515142989
0,1024,44100,0.0002488374008512349,1.022950572586848,12649.734100217545,-209.9173215576841
0,1024,44100,8.646828133924093e-05,-1.863192968426551,12737.032359266586,-15.146417986841858
0,1024,44100,0.000684340780248634,-0.3629877157153092,-5682.309118580697,-58.29838483036863
0,1024,44100,0.0001995974649294398,0.15389211706978795,-6307.020399763473,-5.743357336405136
0,1024,44100,0.0009092584613302349,1.1923771558999057,-6752.7160573684005,-52.488928078829204
0,1024,44100,0.003364584514095346,2.197226741336703,-7586.663232738243,-452.58471801279416
0,1024,44100,7.701176090041796e-05,-1.2325059997274679,13798.596028218974,-43.182908709336296
0,1024,44100,7.070030720911757e-05,-2.2519237980233693,13931.188285165554,-51.63842063994132
0,1024,44100,3.4204983523375196e-05,-2.397998463454551,14325.594164717464,-32.23096699024056
0,1024,44100,1.850825342187617e-05,2.5664810639691074,14591.265319558677,-8.064107041524382
0,1024,44100,1.558771955067994e-05,-1.5899040182853847,15117.617796121904,-39.28428854291045
0,1024,44100,0.00019913853207458688,-2.4815488982287297,-8255.258895459789,-43.822834323636386
0,1024,44100,1.5821647754463254e-05,1.1147927226085652,15649.13886731245,-4.607987575871038
0,1024,44100,3.20879671133604e-05,-2.6213122089345675,15946.399260058846,-2.1263000443663977
0,1024,44100,3.616816483985174e-05,1.504805235859926,16104.86222826036,-56.5778325130752
0,1024,44100,3.910155293601756e-05,-0.30825012347167946,16450.9942698588,-16.62873580574122
0,1024,44100,4.1084978580263414e-05,-1.2227605969933675,16628.8436293595,-25.419234676317426
0,1024,44100,0.0006673018178764209,3.106128899388259,-8903.17711749889,-191.05533478134646
0,1024,44100,1.0946866607918583e-05,-1.0481026226674441,17112.6805204494,-13.112446955324186
0,1024,44100,1.298379090371241e-05,-0.1197341174491626,17243.966464773723,-30.26465927917767
0,1024,44100,2.6682246686794117e-05,0.9345228538658693,17682.299731021347,-7.671309681171611
0,1024,44100,0.00019464726920655993,2.1179077519096987,-9552.079074024245,-11.385837842882383
0,1024,44100,0.0004036765947470444,-2.211513835844633,-9632.541961507379,-73.75439226493462
0,1024,44100,0.00014431552938132865,2.7164724829177134,-9971.007905949848,-81.08279300578866
0,1024,44100,0.0003264480120409597,-2.0455616131089776,-10206.122168140235,-101.43372951014331
